Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2026-01-02,272.26,277.84,269.0,271.01,270.76,37838100
AAPL,2026-01-05,270.64,271.51,266.14,267.26,267.01,45647200
AAPL,2026-01-06,267.0,267.55,262.12,262.36,262.11,52352100
AAPL,2026-01-07,263.2,263.68,259.81,260.33,260.09,48309800
AAPL,2026-01-08,257.02,259.29,255.7,259.04,258.8,50419300
AAPL,2026-01-09,259.08,260.21,256.22,259.37,259.13,39997000
AAPL,2026-01-12,259.16,261.3,256.8,260.25,260.01,45263800
AAPL,2026-01-13,258.72,261.81,258.39,261.05,260.81,45730800
AAPL,2026-01-14,259.49,261.82,256.71,259.96,259.72,40019400
AAPL,2026-01-15,260.65,261.04,257.05,258.21,257.97,39388600
AAPL,2026-01-16,257.9,258.9,254.93,255.53,255.29,72142800
AAPL,2026-01-20,252.73,254.79,243.42,246.7,246.47,80267500
AAPL,2026-01-21,248.7,251.56,245.18,247.65,247.42,54641700
AAPL,2026-01-22,249.2,251.0,248.15,248.35,248.12,39708300
AAPL,2026-01-23,247.32,249.41,244.68,248.04,247.81,41689000
AAPL,2026-01-26,251.48,256.56,249.8,255.41,255.17,55969200
AAPL,2026-01-27,259.17,261.95,258.21,258.27,258.03,49648300
AAPL,2026-01-28,257.65,258.86,254.51,256.44,256.2,41288000
AAPL,2026-01-29,258.0,259.65,254.41,258.28,258.04,67253000
AAPL,2026-01-30,255.17,261.9,252.18,259.48,259.24,92443400
ABNB,2026-01-02,135.94,136.11,132.34,133.01,133.01,3863800
ABNB,2026-01-05,133.1,137.96,132.63,135.87,135.87,4336100
ABNB,2026-01-06,135.95,138.38,135.95,138.02,138.02,3113000
ABNB,2026-01-07,137.65,139.55,136.83,137.04,137.04,3585100
ABNB,2026-01-08,136.1,138.78,134.55,138.66,138.66,3592800
ABNB,2026-01-09,140.01,141.4,137.91,139.27,139.27,4577800
ABNB,2026-01-12,139.28,140.24,137.01,138.51,138.51,3371100
ABNB,2026-01-13,138.14,140.19,136.5,140.07,140.07,4108700
ABNB,2026-01-14,139.5,139.65,130.15,132.79,132.79,7681600
ABNB,2026-01-15,134.54,135.5,131.93,132.6,132.6,4662400
ABNB,2026-01-16,132.6,132.76,129.85,130.66,130.66,5061700
ABNB,2026-01-20,127.83,132.04,127.83,130.73,130.73,4500900
ABNB,2026-01-21,130.73,134.97,129.7,133.59,133.59,4645900
ABNB,2026-01-22,134.32,137.21,133.51,133.8,133.8,3577100
ABNB,2026-01-23,133.21,134.82,131.71,132.15,132.15,4302900
ABNB,2026-01-26,132.49,134.51,131.18,133.39,133.39,3648900
ABNB,2026-01-27,133.23,133.49,131.01,132.22,132.22,2530600
ABNB,2026-01-28,132.54,134.12,131.51,131.55,131.55,2263800
ABNB,2026-01-29,131.75,132.58,130.1,131.77,131.77,4251600
ABNB,2026-01-30,130.97,131.56,129.06,129.37,129.37,3505700
ADBE,2026-01-02,350.68,351.12,331.64,333.3,333.3,5643500
ADBE,2026-01-05,330.11,334.47,327.44,331.56,331.56,5012100
ADBE,2026-01-06,330.0,336.4,329.5,335.99,335.99,3187400
ADBE,2026-01-07,336.24,342.78,334.62,338.1,338.1,3183100
ADBE,2026-01-08,337.38,343.95,334.68,339.04,339.04,3107700
ADBE,2026-01-09,335.88,335.88,328.0,333.95,333.95,3250100
ADBE,2026-01-12,327.77,330.67,323.5,327.65,327.65,3541400
ADBE,2026-01-13,322.49,323.0,307.91,309.93,309.93,7217300
ADBE,2026-01-14,308.57,309.73,302.47,304.44,304.44,5712600
ADBE,2026-01-15,304.97,305.82,301.4,304.09,304.09,4774300
ADBE,2026-01-16,304.56,304.88,295.42,296.12,296.12,8534400
ADBE,2026-01-20,294.32,295.0,288.33,290.37,290.37,6962000
ADBE,2026-01-21,290.77,294.51,288.33,294.23,294.23,5645300
ADBE,2026-01-22,296.0,301.82,295.2,299.73,299.73,4974500
ADBE,2026-01-23,301.46,303.84,299.2,301.07,301.07,4368700
ADBE,2026-01-26,301.4,306.3,301.4,304.72,304.72,4115300
ADBE,2026-01-27,303.81,304.22,292.93,297.42,297.42,4166300
ADBE,2026-01-28,299.66,303.85,297.69,299.58,299.58,3942800
ADBE,2026-01-29,291.68,293.64,284.6,291.65,291.65,7410800
ADBE,2026-01-30,291.6,295.34,290.51,293.25,293.25,5713000
ADI,2026-01-02,275.07,276.0,270.46,273.74,273.74,3608900
ADI,2026-01-05,275.22,281.83,273.77,277.29,277.29,3006700
ADI,2026-01-06,279.74,294.15,279.59,292.94,292.94,6428000
ADI,2026-01-07,288.89,293.08,286.75,292.89,292.89,3570200
ADI,2026-01-08,290.38,299.53,289.51,299.16,299.16,3775500
ADI,2026-01-09,299.77,303.2,297.12,300.93,300.93,3088100
ADI,2026-01-12,297.5,298.35,292.45,293.86,293.86,3308200
ADI,2026-01-13,295.18,302.48,294.66,296.21,296.21,2759600
ADI,2026-01-14,294.59,298.86,293.28,297.99,297.99,3597400
ADI,2026-01-15,301.81,305.61,298.64,302.1,302.1,4087000
ADI,2026-01-16,307.53,309.18,299.69,300.25,300.25,4261100
ADI,2026-01-20,296.99,302.03,293.82,295.67,295.67,4321000
ADI,2026-01-21,298.96,308.15,298.4,304.97,304.97,3753900
ADI,2026-01-22,309.47,313.19,306.87,308.52,308.52,2793700
ADI,2026-01-23,310.49,313.54,303.16,305.6,305.6,2907000
ADI,2026-01-26,305.15,306.69,303.76,304.01,304.01,2757700
ADI,2026-01-27,305.24,306.99,300.76,303.83,303.83,3552700
ADI,2026-01-28,313.0,318.17,308.5,317.63,317.63,3888300
ADI,2026-01-29,316.07,319.26,308.93,318.7,318.7,3131800
ADI,2026-01-30,314.96,317.32,309.27,310.88,310.88,4405600
ADP,2026-01-02,257.03,257.67,251.65,252.88,252.88,2026200
ADP,2026-01-05,252.69,259.14,251.96,257.32,257.32,2102600
ADP,2026-01-06,255.77,262.1,255.47,261.12,261.12,2063900
ADP,2026-01-07,261.95,262.48,259.3,261.26,261.26,1479000
ADP,2026-01-08,260.25,267.03,259.6,265.67,265.67,1988700
ADP,2026-01-09,265.55,268.08,264.66,266.02,266.02,1687600
ADP,2026-01-12,264.8,266.03,261.97,262.8,262.8,1495100
ADP,2026-01-13,262.29,263.22,256.72,257.07,257.07,1802800
ADP,2026-01-14,256.64,259.04,256.19,258.5,258.5,1894800
ADP,2026-01-15,261.14,263.58,259.13,260.2,260.2,2054000
ADP,2026-01-16,260.02,261.09,257.57,260.44,260.44,2880300
ADP,2026-01-20,258.46,259.9,254.19,255.1,255.1,2214500
ADP,2026-01-21,255.43,259.29,254.5,256.99,256.99,2540600
ADP,2026-01-22,257.2,260.06,256.53,259.86,259.86,2002100
ADP,2026-01-23,258.13,260.65,256.88,257.87,257.87,2114200
ADP,2026-01-26,258.43,260.24,256.22,258.17,258.17,2043400
ADP,2026-01-27,256.78,257.46,253.44,254.51,254.51,3482100
ADP,2026-01-28,249.65,255.73,248.3,250.69,250.69,4089100
ADP,2026-01-29,249.39,252.43,244.44,245.97,245.97,3533800
ADP,2026-01-30,245.07,247.0,243.68,246.82,246.82,3568400
ADSK,2026-01-02,296.0,296.06,282.51,286.73,286.73,1317700
ADSK,2026-01-05,288.04,293.1,286.63,288.66,288.66,1463800
ADSK,2026-01-06,288.51,294.24,287.52,293.17,293.17,1264500
ADSK,2026-01-07,294.73,296.8,293.04,293.79,293.79,987700
ADSK,2026-01-08,291.0,292.05,273.8,276.58,276.58,2778000
ADSK,2026-01-09,276.8,278.45,273.8,276.02,276.02,1820900
ADSK,2026-01-12,275.91,279.32,274.02,277.89,277.89,1204600
ADSK,2026-01-13,277.5,279.34,266.77,270.63,270.63,2171000
ADSK,2026-01-14,268.95,271.01,259.27,261.28,261.28,2221200
ADSK,2026-01-15,262.23,264.08,259.76,262.26,262.26,1773800
ADSK,2026-01-16,262.72,266.4,260.72,265.69,265.69,3839400
ADSK,2026-01-20,261.54,262.49,252.55,253.87,253.87,2671200
ADSK,2026-01-21,253.87,257.49,253.34,257.44,257.44,2342600
ADSK,2026-01-22,268.71,271.44,263.05,269.77,269.77,3157400
ADSK,2026-01-23,269.41,271.29,266.87,270.0,270.0,1493400
ADSK,2026-01-26,270.41,274.25,269.76,272.34,272.34,1804300
ADSK,2026-01-27,271.2,272.05,264.59,268.09,268.09,1458400
ADSK,2026-01-28,268.51,271.12,266.61,268.33,268.33,1268100
ADSK,2026-01-29,260.0,260.47,247.2,255.68,255.68,3641800
ADSK,2026-01-30,253.59,255.67,250.95,252.87,252.87,1739200
AEP,2026-01-02,115.44,116.2,114.42,115.81,114.9,3906700
AEP,2026-01-05,115.57,115.57,112.54,114.07,113.18,3894400
AEP,2026-01-06,114.05,115.23,113.85,115.04,114.14,2535800
AEP,2026-01-07,115.33,115.52,113.25,113.7,112.81,2557000
AEP,2026-01-08,113.88,116.5,113.74,115.93,115.02,3230800
AEP,2026-01-09,116.0,117.41,115.95,116.91,115.99,2867700
AEP,2026-01-12,115.6,117.7,115.36,116.57,115.66,3437400
AEP,2026-01-13,116.57,117.01,115.57,116.62,115.71,2735100
AEP,2026-01-14,116.99,118.57,116.68,118.11,117.18,3143800
AEP,2026-01-15,118.41,119.7,117.65,119.4,118.46,3085800
AEP,2026-01-16,119.02,120.14,118.22,119.96,119.02,4044500
AEP,2026-01-20,119.2,120.45,118.27,119.22,118.28,4776400
AEP,2026-01-21,119.75,120.35,117.85,118.98,118.05,3632500
AEP,2026-01-22,118.71,119.36,117.03,117.18,116.26,2880500
AEP,2026-01-23,116.93,117.17,115.56,116.63,115.72,2525900
AEP,2026-01-26,117.11,119.17,117.01,118.02,117.09,3992200
AEP,2026-01-27,117.74,119.76,117.48,119.43,118.49,2675700
AEP,2026-01-28,119.25,120.2,118.53,119.12,118.19,1888800
AEP,2026-01-29,119.57,120.82,118.55,119.21,118.27,3537800
AEP,2026-01-30,119.02,119.88,117.98,119.78,118.84,3640700
AMAT,2026-01-02,267.08,271.23,265.1,268.87,268.87,7553200
AMAT,2026-01-05,276.12,287.74,276.12,284.32,284.32,10398700
AMAT,2026-01-06,285.43,298.22,285.43,296.01,296.01,7237900
AMAT,2026-01-07,292.0,295.25,290.0,292.2,292.2,6148400
AMAT,2026-01-08,290.7,291.92,279.45,281.64,281.64,5500700
AMAT,2026-01-09,288.4,302.78,286.5,301.18,301.18,9427600
AMAT,2026-01-12,301.72,309.5,300.59,307.24,307.24,6612800
AMAT,2026-01-13,307.06,310.64,302.59,304.87,304.87,7146500
AMAT,2026-01-14,301.47,301.94,297.0,301.89,301.89,6545200
AMAT,2026-01-15,328.08,331.0,318.83,319.08,319.08,11262800
AMAT,2026-01-16,325.72,330.19,320.17,327.01,327.01,11399300
AMAT,2026-01-20,316.1,324.49,315.7,318.23,318.23,9387300
AMAT,2026-01-21,319.48,328.69,316.91,325.24,325.24,7914000
AMAT,2026-01-22,332.99,333.03,317.46,318.79,318.79,6036100
AMAT,2026-01-23,318.98,323.64,311.07,322.38,322.38,6201000
AMAT,2026-01-26,322.0,322.0,316.57,319.46,319.46,4777200
AMAT,2026-01-27,324.45,336.47,323.29,332.71,332.71,8033000
AMAT,2026-01-28,341.93,344.04,332.96,336.75,336.75,8470000
AMAT,2026-01-29,340.74,344.6,328.88,341.34,341.34,7350500
AMAT,2026-01-30,332.93,340.95,321.54,322.32,322.32,9814100
AMD,2026-01-02,218.9,227.15,218.9,223.47,223.47,36446200
AMD,2026-01-05,230.25,234.02,220.48,221.08,221.08,31941100
AMD,2026-01-06,222.71,222.92,211.25,214.35,214.35,40033200
AMD,2026-01-07,212.13,212.13,207.17,210.02,210.02,29715500
AMD,2026-01-08,210.9,210.94,203.33,204.68,204.68,27505000
AMD,2026-01-09,205.72,207.3,203.07,203.17,203.17,24217300
AMD,2026-01-12,201.18,209.88,199.8,207.69,207.69,27287300
AMD,2026-01-13,215.1,223.11,214.98,220.97,220.97,56894900
AMD,2026-01-14,217.54,224.09,215.11,223.6,223.6,40466500
AMD,2026-01-15,227.9,238.35,227.22,227.92,227.92,55270200
AMD,2026-01-16,234.3,234.49,228.86,231.83,231.83,42545600
AMD,2026-01-20,226.08,239.5,225.41,231.92,231.92,44327700
AMD,2026-01-21,235.99,252.9,235.78,249.8,249.8,62385600
AMD,2026-01-22,251.75,256.08,246.63,253.73,253.73,37945000
AMD,2026-01-23,261.18,266.96,256.25,259.68,259.68,47525900
AMD,2026-01-26,256.75,258.29,250.3,251.31,251.31,30672500
AMD,2026-01-27,252.16,255.55,247.96,252.03,252.03,25691600
